"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SOCEXP","PUB","PC_GDP","A","1996",17.029,
"AUS","SOCEXP","PUB","PC_GDP","A","1997",16.788,
"AUS","SOCEXP","PUB","PC_GDP","A","1998",17.621,
"AUS","SOCEXP","PUB","PC_GDP","A","1999",17.249,
"AUS","SOCEXP","PUB","PC_GDP","A","2000",18.253,
"AUS","SOCEXP","PUB","PC_GDP","A","2001",17.548,
"AUS","SOCEXP","PUB","PC_GDP","A","2002",17.356,
"AUS","SOCEXP","PUB","PC_GDP","A","2003",17.564,
"AUS","SOCEXP","PUB","PC_GDP","A","2004",17.258,
"AUS","SOCEXP","PUB","PC_GDP","A","2005",16.709,
"AUS","SOCEXP","PUB","PC_GDP","A","2006",15.736,
"AUS","SOCEXP","PUB","PC_GDP","A","2007",15.895,
"AUS","SOCEXP","PUB","PC_GDP","A","2008",17.089,
"AUS","SOCEXP","PUB","PC_GDP","A","2009",16.933,
"AUS","SOCEXP","PUB","PC_GDP","A","2010",16.594,
"AUS","SOCEXP","PUB","PC_GDP","A","2011",17.052,
"AUS","SOCEXP","PUB","PC_GDP","A","2012",17.293,
"AUS","SOCEXP","PUB","PC_GDP","A","2013",17.636,
"AUS","SOCEXP","PUB","PC_GDP","A","2014",18.266,
"AUS","SOCEXP","PUB","PC_GDP","A","2015",18.535,
"AUS","SOCEXP","PUB","PC_GDP","A","2016",17.808,
"AUS","SOCEXP","PUBNET","PC_GDP","A","1995",16.004,
"AUS","SOCEXP","PUBNET","PC_GDP","A","1997",15.927,
"AUS","SOCEXP","PUBNET","PC_GDP","A","1999",16.535,
"AUS","SOCEXP","PUBNET","PC_GDP","A","2001",16.955,
"AUS","SOCEXP","PUBNET","PC_GDP","A","2003",16.904,
"AUS","SOCEXP","PUBNET","PC_GDP","A","2005",16.29,
"AUS","SOCEXP","PUBNET","PC_GDP","A","2007",15.634,
"AUS","SOCEXP","PUBNET","PC_GDP","A","2009",16.686,
"AUS","SOCEXP","PUBNET","PC_GDP","A","2011",16.841,
"AUS","SOCEXP","PUBNET","PC_GDP","A","2013",17.387,
"AUS","SOCEXP","PUBNET","PC_GDP","A","2015",18.374,
"AUS","SOCEXP","TOTNET","PC_GDP","A","1995",19.073,
"AUS","SOCEXP","TOTNET","PC_GDP","A","1997",19.518,
"AUS","SOCEXP","TOTNET","PC_GDP","A","1999",20.241,
"AUS","SOCEXP","TOTNET","PC_GDP","A","2001",20.488,
"AUS","SOCEXP","TOTNET","PC_GDP","A","2003",19.953,
"AUS","SOCEXP","TOTNET","PC_GDP","A","2005",18.739,
"AUS","SOCEXP","TOTNET","PC_GDP","A","2007",20.15,
"AUS","SOCEXP","TOTNET","PC_GDP","A","2009",20.449,
"AUS","SOCEXP","TOTNET","PC_GDP","A","2011",20.896,
"AUS","SOCEXP","TOTNET","PC_GDP","A","2013",21.86,
"AUS","SOCEXP","TOTNET","PC_GDP","A","2015",23.522,
"AUS","SOCEXP","PUB","USD_CAP","A","1980",2530.293,
"AUS","SOCEXP","PUB","USD_CAP","A","1981",2539.577,
"AUS","SOCEXP","PUB","USD_CAP","A","1982",2680.478,
"AUS","SOCEXP","PUB","USD_CAP","A","1983",2893.601,
"AUS","SOCEXP","PUB","USD_CAP","A","1984",3106.36,
"AUS","SOCEXP","PUB","USD_CAP","A","1985",3211.432,
"AUS","SOCEXP","PUB","USD_CAP","A","1986",3198.037,
"AUS","SOCEXP","PUB","USD_CAP","A","1987",3396.884,
"AUS","SOCEXP","PUB","USD_CAP","A","1988",3265.214,
"AUS","SOCEXP","PUB","USD_CAP","A","1989",3371.945,
"AUS","SOCEXP","PUB","USD_CAP","A","1990",3727.592,
"AUS","SOCEXP","PUB","USD_CAP","A","1991",4031.206,
"AUS","SOCEXP","PUB","USD_CAP","A","1992",4441.576,
"AUS","SOCEXP","PUB","USD_CAP","A","1993",4651.77,
"AUS","SOCEXP","PUB","USD_CAP","A","1994",4692.06,
"AUS","SOCEXP","PUB","USD_CAP","A","1995",5333.138,
"AUS","SOCEXP","PUB","USD_CAP","A","1996",5522.149,
"AUS","SOCEXP","PUB","USD_CAP","A","1997",5636.5,
"AUS","SOCEXP","PUB","USD_CAP","A","1998",6145.613,
"AUS","SOCEXP","PUB","USD_CAP","A","1999",6181.805,
"AUS","SOCEXP","PUB","USD_CAP","A","2000",6583.284,
"AUS","SOCEXP","PUB","USD_CAP","A","2001",6507.717,
"AUS","SOCEXP","PUB","USD_CAP","A","2002",6552.958,
"AUS","SOCEXP","PUB","USD_CAP","A","2003",6823.528,
"AUS","SOCEXP","PUB","USD_CAP","A","2004",6834.802,
"AUS","SOCEXP","PUB","USD_CAP","A","2005",6713.537,
"AUS","SOCEXP","PUB","USD_CAP","A","2006",6443.025,
"AUS","SOCEXP","PUB","USD_CAP","A","2007",6612.402,
"AUS","SOCEXP","PUB","USD_CAP","A","2008",7097.948,
"AUS","SOCEXP","PUB","USD_CAP","A","2009",7066.602,
"AUS","SOCEXP","PUB","USD_CAP","A","2010",6997.037,
"AUS","SOCEXP","PUB","USD_CAP","A","2011",7342.377,
"AUS","SOCEXP","PUB","USD_CAP","A","2012",7514.077,
"AUS","SOCEXP","PUB","USD_CAP","A","2013",7744.208,
"AUS","SOCEXP","PUB","USD_CAP","A","2014",8095.471,
"AUS","SOCEXP","PUB","USD_CAP","A","2015",8328.141,
"AUS","SOCEXP","PUB","USD_CAP","A","2016",8029.139,
"AUT","SOCEXP","PRIV","PC_GDP","A","1980",2.488,
"AUT","SOCEXP","PRIV","PC_GDP","A","1981",0.589,
"AUT","SOCEXP","PRIV","PC_GDP","A","1982",0.609,
"AUT","SOCEXP","PRIV","PC_GDP","A","1983",0.611,
"AUT","SOCEXP","PRIV","PC_GDP","A","1984",0.624,
"AUT","SOCEXP","PRIV","PC_GDP","A","1985",2.264,
"AUT","SOCEXP","PRIV","PC_GDP","A","1986",0.618,
"AUT","SOCEXP","PRIV","PC_GDP","A","1987",0.618,
"AUT","SOCEXP","PRIV","PC_GDP","A","1988",0.618,
"AUT","SOCEXP","PRIV","PC_GDP","A","1989",0.624,
"AUT","SOCEXP","PRIV","PC_GDP","A","1990",2.188,
"AUT","SOCEXP","PRIV","PC_GDP","A","1991",2.179,
"AUT","SOCEXP","PRIV","PC_GDP","A","1992",2.189,
"AUT","SOCEXP","PRIV","PC_GDP","A","1993",2.174,
"AUT","SOCEXP","PRIV","PC_GDP","A","1994",2.114,
"AUT","SOCEXP","PRIV","PC_GDP","A","1995",2.056,
"AUT","SOCEXP","PRIV","PC_GDP","A","1996",1.988,
"AUT","SOCEXP","PRIV","PC_GDP","A","1997",1.951,
"AUT","SOCEXP","PRIV","PC_GDP","A","1998",1.915,
"AUT","SOCEXP","PRIV","PC_GDP","A","1999",2.016,
"AUT","SOCEXP","PRIV","PC_GDP","A","2000",2.103,
"AUT","SOCEXP","PRIV","PC_GDP","A","2001",2.031,
"AUT","SOCEXP","PRIV","PC_GDP","A","2002",1.991,
"AUT","SOCEXP","PRIV","PC_GDP","A","2003",1.996,
"AUT","SOCEXP","PRIV","PC_GDP","A","2004",1.992,
"AUT","SOCEXP","PRIV","PC_GDP","A","2005",1.979,
"AUT","SOCEXP","PRIV","PC_GDP","A","2006",1.976,
"AUT","SOCEXP","PRIV","PC_GDP","A","2007",2.043,
"AUT","SOCEXP","PRIV","PC_GDP","A","2008",2.122,
"AUT","SOCEXP","PRIV","PC_GDP","A","2009",2.21,
"AUT","SOCEXP","PRIV","PC_GDP","A","2010",2.167,
"AUT","SOCEXP","PRIV","PC_GDP","A","2011",2.16,
"AUT","SOCEXP","PRIV","PC_GDP","A","2012",2.157,
"AUT","SOCEXP","PRIV","PC_GDP","A","2013",2.211,
"AUT","SOCEXP","PRIV","PC_GDP","A","2014",2.193,
"AUT","SOCEXP","PRIV","PC_GDP","A","2015",2.226,
"AUT","SOCEXP","PUB","PC_GDP","A","1980",21.906,
"AUT","SOCEXP","PUB","PC_GDP","A","1985",23.205,
"AUT","SOCEXP","PUB","PC_GDP","A","1990",23.149,
"AUT","SOCEXP","PUB","PC_GDP","A","1991",23.47,
"AUT","SOCEXP","PUB","PC_GDP","A","1992",24.158,
"AUT","SOCEXP","PUB","PC_GDP","A","1993",25.471,
"AUT","SOCEXP","PUB","PC_GDP","A","1994",26.324,
"AUT","SOCEXP","PUB","PC_GDP","A","1995",26.276,
"AUT","SOCEXP","PUB","PC_GDP","A","1996",26.399,
"AUT","SOCEXP","PUB","PC_GDP","A","1997",25.854,
"AUT","SOCEXP","PUB","PC_GDP","A","1998",25.632,
"AUT","SOCEXP","PUB","PC_GDP","A","1999",25.954,
"AUT","SOCEXP","PUB","PC_GDP","A","2000",25.688,
"AUT","SOCEXP","PUB","PC_GDP","A","2001",25.751,
"AUT","SOCEXP","PUB","PC_GDP","A","2002",26.047,
"AUT","SOCEXP","PUB","PC_GDP","A","2003",26.585,
"AUT","SOCEXP","PUB","PC_GDP","A","2004",26.329,
"AUT","SOCEXP","PUB","PC_GDP","A","2005",25.952,
"AUT","SOCEXP","PUB","PC_GDP","A","2006",25.665,
"AUT","SOCEXP","PUB","PC_GDP","A","2007",25.086,
"AUT","SOCEXP","PUB","PC_GDP","A","2008",25.515,
"AUT","SOCEXP","PUB","PC_GDP","A","2009",27.466,
"AUT","SOCEXP","PUB","PC_GDP","A","2010",27.562,
"AUT","SOCEXP","PUB","PC_GDP","A","2011",26.743,
"AUT","SOCEXP","PUB","PC_GDP","A","2012",27.109,
"AUT","SOCEXP","PUB","PC_GDP","A","2013",27.513,
"AUT","SOCEXP","PUB","PC_GDP","A","2014",27.735,
"AUT","SOCEXP","PUB","PC_GDP","A","2015",27.701,
"AUT","SOCEXP","PUB","PC_GDP","A","2016",27.837,
"AUT","SOCEXP","PUB","PC_GDP","A","2017",27.083,
"AUT","SOCEXP","PUB","PC_GDP","A","2018",26.601,
"AUT","SOCEXP","PUBNET","PC_GDP","A","1995",21.487,
"AUT","SOCEXP","PUBNET","PC_GDP","A","1997",20.845,
"AUT","SOCEXP","PUBNET","PC_GDP","A","1999",20.915,
"AUT","SOCEXP","PUBNET","PC_GDP","A","2001",20.59,
"AUT","SOCEXP","PUBNET","PC_GDP","A","2003",21.403,
"AUT","SOCEXP","PUBNET","PC_GDP","A","2005",21.073,
"AUT","SOCEXP","PUBNET","PC_GDP","A","2007",20.55,
"AUT","SOCEXP","PUBNET","PC_GDP","A","2009",22.674,
"AUT","SOCEXP","PUBNET","PC_GDP","A","2011",22.053,
"AUT","SOCEXP","PUBNET","PC_GDP","A","2013",22.45,
"AUT","SOCEXP","PUBNET","PC_GDP","A","2015",22.541,
"AUT","SOCEXP","TOTNET","PC_GDP","A","1995",22.992,
"AUT","SOCEXP","TOTNET","PC_GDP","A","1997",22.257,
"AUT","SOCEXP","TOTNET","PC_GDP","A","1999",22.338,
"AUT","SOCEXP","TOTNET","PC_GDP","A","2001",22.076,
"AUT","SOCEXP","TOTNET","PC_GDP","A","2003",22.896,
"AUT","SOCEXP","TOTNET","PC_GDP","A","2005",22.564,
"AUT","SOCEXP","TOTNET","PC_GDP","A","2007",22.141,
"AUT","SOCEXP","TOTNET","PC_GDP","A","2009",24.402,
"AUT","SOCEXP","TOTNET","PC_GDP","A","2011",23.642,
"AUT","SOCEXP","TOTNET","PC_GDP","A","2013",24.171,
"AUT","SOCEXP","TOTNET","PC_GDP","A","2015",24.27,
"AUT","SOCEXP","PUB","USD_CAP","A","1980",5424.411,
"AUT","SOCEXP","PUB","USD_CAP","A","1985",6168.305,
"AUT","SOCEXP","PUB","USD_CAP","A","1990",7039.424,
"AUT","SOCEXP","PUB","USD_CAP","A","1991",7309.446,
"AUT","SOCEXP","PUB","USD_CAP","A","1992",7596.964,
"AUT","SOCEXP","PUB","USD_CAP","A","1993",7986.062,
"AUT","SOCEXP","PUB","USD_CAP","A","1994",8419.393,
"AUT","SOCEXP","PUB","USD_CAP","A","1995",8614.854,
"AUT","SOCEXP","PUB","USD_CAP","A","1996",8846.75,
"AUT","SOCEXP","PUB","USD_CAP","A","1997",8835.565,
"AUT","SOCEXP","PUB","USD_CAP","A","1998",9063.402,
"AUT","SOCEXP","PUB","USD_CAP","A","1999",9485.032,
"AUT","SOCEXP","PUB","USD_CAP","A","2000",9681.328,
"AUT","SOCEXP","PUB","USD_CAP","A","2001",9790.577,
"AUT","SOCEXP","PUB","USD_CAP","A","2002",10017.082,
"AUT","SOCEXP","PUB","USD_CAP","A","2003",10274.392,
"AUT","SOCEXP","PUB","USD_CAP","A","2004",10388.188,
"AUT","SOCEXP","PUB","USD_CAP","A","2005",10398.218,
"AUT","SOCEXP","PUB","USD_CAP","A","2006",10583.446,
"AUT","SOCEXP","PUB","USD_CAP","A","2007",10695.188,
"AUT","SOCEXP","PUB","USD_CAP","A","2008",11001.892,
"AUT","SOCEXP","PUB","USD_CAP","A","2009",11370.198,
"AUT","SOCEXP","PUB","USD_CAP","A","2010",11592.181,
"AUT","SOCEXP","PUB","USD_CAP","A","2011",11538.831,
"AUT","SOCEXP","PUB","USD_CAP","A","2012",11723.197,
"AUT","SOCEXP","PUB","USD_CAP","A","2013",11829.48,
"AUT","SOCEXP","PUB","USD_CAP","A","2014",11929.972,
"AUT","SOCEXP","PUB","USD_CAP","A","2015",11926.15,
"BEL","SOCEXP","PRIV","PC_GDP","A","1980",0.978,
"BEL","SOCEXP","PRIV","PC_GDP","A","1981",0.995,
"BEL","SOCEXP","PRIV","PC_GDP","A","1982",0.984,
"BEL","SOCEXP","PRIV","PC_GDP","A","1983",0.999,
"BEL","SOCEXP","PRIV","PC_GDP","A","1984",0.818,
"BEL","SOCEXP","PRIV","PC_GDP","A","1985",0.821,
"BEL","SOCEXP","PRIV","PC_GDP","A","1986",0.864,
"BEL","SOCEXP","PRIV","PC_GDP","A","1987",0.896,
"BEL","SOCEXP","PRIV","PC_GDP","A","1988",0.888,
"BEL","SOCEXP","PRIV","PC_GDP","A","1989",0.852,
"BEL","SOCEXP","PRIV","PC_GDP","A","1990",1.555,
"BEL","SOCEXP","PRIV","PC_GDP","A","1991",1.538,
"BEL","SOCEXP","PRIV","PC_GDP","A","1992",1.912,
"BEL","SOCEXP","PRIV","PC_GDP","A","1993",2.335,
"BEL","SOCEXP","PRIV","PC_GDP","A","1994",2.258,
"BEL","SOCEXP","PRIV","PC_GDP","A","1995",2.072,
"BEL","SOCEXP","PRIV","PC_GDP","A","1996",1.999,
"BEL","SOCEXP","PRIV","PC_GDP","A","1997",1.919,
"BEL","SOCEXP","PRIV","PC_GDP","A","1998",1.865,
"BEL","SOCEXP","PRIV","PC_GDP","A","1999",1.83,
"BEL","SOCEXP","PRIV","PC_GDP","A","2000",1.674,
"BEL","SOCEXP","PRIV","PC_GDP","A","2001",1.889,
"BEL","SOCEXP","PRIV","PC_GDP","A","2002",1.999,
"BEL","SOCEXP","PRIV","PC_GDP","A","2003",2.489,
"BEL","SOCEXP","PRIV","PC_GDP","A","2004",2.476,
"BEL","SOCEXP","PRIV","PC_GDP","A","2005",2.408,
"BEL","SOCEXP","PRIV","PC_GDP","A","2006",2.39,
"BEL","SOCEXP","PRIV","PC_GDP","A","2007",2.14,
"BEL","SOCEXP","PRIV","PC_GDP","A","2008",2.077,
"BEL","SOCEXP","PRIV","PC_GDP","A","2009",2.219,
"BEL","SOCEXP","PRIV","PC_GDP","A","2010",1.935,
"BEL","SOCEXP","PRIV","PC_GDP","A","2011",2.024,
"BEL","SOCEXP","PRIV","PC_GDP","A","2012",2.024,
"BEL","SOCEXP","PRIV","PC_GDP","A","2013",1.874,
"BEL","SOCEXP","PRIV","PC_GDP","A","2014",1.819,
"BEL","SOCEXP","PRIV","PC_GDP","A","2015",1.929,
"BEL","SOCEXP","PUB","PC_GDP","A","1980",23.079,
"BEL","SOCEXP","PUB","PC_GDP","A","1981",24.621,
"BEL","SOCEXP","PUB","PC_GDP","A","1982",25.215,
"BEL","SOCEXP","PUB","PC_GDP","A","1983",25.498,
"BEL","SOCEXP","PUB","PC_GDP","A","1984",24.719,
"BEL","SOCEXP","PUB","PC_GDP","A","1985",25.552,
"BEL","SOCEXP","PUB","PC_GDP","A","1986",25.382,
"BEL","SOCEXP","PUB","PC_GDP","A","1987",25.154,
"BEL","SOCEXP","PUB","PC_GDP","A","1988",24.974,
"BEL","SOCEXP","PUB","PC_GDP","A","1989",24.133,
"BEL","SOCEXP","PUB","PC_GDP","A","1990",24.417,
"BEL","SOCEXP","PUB","PC_GDP","A","1991",25.175,
"BEL","SOCEXP","PUB","PC_GDP","A","1992",24.193,
"BEL","SOCEXP","PUB","PC_GDP","A","1993",25.244,
"BEL","SOCEXP","PUB","PC_GDP","A","1994",24.65,
"BEL","SOCEXP","PUB","PC_GDP","A","1995",25.169,
"BEL","SOCEXP","PUB","PC_GDP","A","1996",25.737,
"BEL","SOCEXP","PUB","PC_GDP","A","1997",24.723,
"BEL","SOCEXP","PUB","PC_GDP","A","1998",24.73,
"BEL","SOCEXP","PUB","PC_GDP","A","1999",24.536,
"BEL","SOCEXP","PUB","PC_GDP","A","2000",23.485,
"BEL","SOCEXP","PUB","PC_GDP","A","2001",23.989,
"BEL","SOCEXP","PUB","PC_GDP","A","2002",24.341,
"BEL","SOCEXP","PUB","PC_GDP","A","2003",25.491,
"BEL","SOCEXP","PUB","PC_GDP","A","2004",25.251,
"BEL","SOCEXP","PUB","PC_GDP","A","2005",25.229,
"BEL","SOCEXP","PUB","PC_GDP","A","2006",25.109,
"BEL","SOCEXP","PUB","PC_GDP","A","2007",24.89,
"BEL","SOCEXP","PUB","PC_GDP","A","2008",26.258,
"BEL","SOCEXP","PUB","PC_GDP","A","2009",28.553,
"BEL","SOCEXP","PUB","PC_GDP","A","2010",28.284,
"BEL","SOCEXP","PUB","PC_GDP","A","2011",28.732,
"BEL","SOCEXP","PUB","PC_GDP","A","2012",28.685,
"BEL","SOCEXP","PUB","PC_GDP","A","2013",29.213,
"BEL","SOCEXP","PUB","PC_GDP","A","2014",29.448,
"BEL","SOCEXP","PUB","PC_GDP","A","2015",29.188,
"BEL","SOCEXP","PUB","PC_GDP","A","2016",29.206,
"BEL","SOCEXP","PUB","PC_GDP","A","2017",29.179,
"BEL","SOCEXP","PUB","PC_GDP","A","2018",28.914,
"BEL","SOCEXP","PUBNET","PC_GDP","A","1995",21.819,
"BEL","SOCEXP","PUBNET","PC_GDP","A","1997",21.253,
"BEL","SOCEXP","PUBNET","PC_GDP","A","1999",21.139,
"BEL","SOCEXP","PUBNET","PC_GDP","A","2001",20.679,
"BEL","SOCEXP","PUBNET","PC_GDP","A","2003",22.024,
"BEL","SOCEXP","PUBNET","PC_GDP","A","2005",21.843,
"BEL","SOCEXP","PUBNET","PC_GDP","A","2007",21.65,
"BEL","SOCEXP","PUBNET","PC_GDP","A","2009",24.843,
"BEL","SOCEXP","PUBNET","PC_GDP","A","2011",24.911,
"BEL","SOCEXP","PUBNET","PC_GDP","A","2013",25.395,
"BEL","SOCEXP","PUBNET","PC_GDP","A","2015",25.097,
"BEL","SOCEXP","TOTNET","PC_GDP","A","1995",23.438,
"BEL","SOCEXP","TOTNET","PC_GDP","A","1997",22.733,
"BEL","SOCEXP","TOTNET","PC_GDP","A","1999",22.533,
"BEL","SOCEXP","TOTNET","PC_GDP","A","2001",22.128,
"BEL","SOCEXP","TOTNET","PC_GDP","A","2003",24.048,
"BEL","SOCEXP","TOTNET","PC_GDP","A","2005",23.809,
"BEL","SOCEXP","TOTNET","PC_GDP","A","2007",23.418,
"BEL","SOCEXP","TOTNET","PC_GDP","A","2009",26.655,
"BEL","SOCEXP","TOTNET","PC_GDP","A","2011",26.571,
"BEL","SOCEXP","TOTNET","PC_GDP","A","2013",26.945,
"BEL","SOCEXP","TOTNET","PC_GDP","A","2015",26.692,
"BEL","SOCEXP","PUB","USD_CAP","A","1980",5718.5,
"BEL","SOCEXP","PUB","USD_CAP","A","1981",6084.15,
"BEL","SOCEXP","PUB","USD_CAP","A","1982",6269.31,
"BEL","SOCEXP","PUB","USD_CAP","A","1983",6360.784,
"BEL","SOCEXP","PUB","USD_CAP","A","1984",6318.04,
"BEL","SOCEXP","PUB","USD_CAP","A","1985",6637.375,
"BEL","SOCEXP","PUB","USD_CAP","A","1986",6712.016,
"BEL","SOCEXP","PUB","USD_CAP","A","1987",6797.585,
"BEL","SOCEXP","PUB","USD_CAP","A","1988",7043.352,
"BEL","SOCEXP","PUB","USD_CAP","A","1989",7016.783,
"BEL","SOCEXP","PUB","USD_CAP","A","1990",7301.614,
"BEL","SOCEXP","PUB","USD_CAP","A","1991",7637.11,
"BEL","SOCEXP","PUB","USD_CAP","A","1992",7421.126,
"BEL","SOCEXP","PUB","USD_CAP","A","1993",7639.314,
"BEL","SOCEXP","PUB","USD_CAP","A","1994",7677.724,
"BEL","SOCEXP","PUB","USD_CAP","A","1995",8009.704,
"BEL","SOCEXP","PUB","USD_CAP","A","1996",8304.288,
"BEL","SOCEXP","PUB","USD_CAP","A","1997",8253.788,
"BEL","SOCEXP","PUB","USD_CAP","A","1998",8401.071,
"BEL","SOCEXP","PUB","USD_CAP","A","1999",8612.639,
"BEL","SOCEXP","PUB","USD_CAP","A","2000",8522.34,
"BEL","SOCEXP","PUB","USD_CAP","A","2001",8745.275,
"BEL","SOCEXP","PUB","USD_CAP","A","2002",8991.511,
"BEL","SOCEXP","PUB","USD_CAP","A","2003",9449.893,
"BEL","SOCEXP","PUB","USD_CAP","A","2004",9659.2,
"BEL","SOCEXP","PUB","USD_CAP","A","2005",9798.522,
"BEL","SOCEXP","PUB","USD_CAP","A","2006",9930.816,
"BEL","SOCEXP","PUB","USD_CAP","A","2007",10108.834,
"BEL","SOCEXP","PUB","USD_CAP","A","2008",10663.712,
"BEL","SOCEXP","PUB","USD_CAP","A","2009",11244.084,
"BEL","SOCEXP","PUB","USD_CAP","A","2010",11338.857,
"BEL","SOCEXP","PUB","USD_CAP","A","2011",11620.96,
"BEL","SOCEXP","PUB","USD_CAP","A","2012",11551.775,
"BEL","SOCEXP","PUB","USD_CAP","A","2013",11727.567,
"BEL","SOCEXP","PUB","USD_CAP","A","2014",11915.579,
"BEL","SOCEXP","PUB","USD_CAP","A","2015",11917.391,
"CAN","SOCEXP","PRIV","PC_GDP","A","1980",1.541,
"CAN","SOCEXP","PRIV","PC_GDP","A","1981",1.638,
"CAN","SOCEXP","PRIV","PC_GDP","A","1982",1.998,
"CAN","SOCEXP","PRIV","PC_GDP","A","1983",2.005,
"CAN","SOCEXP","PRIV","PC_GDP","A","1984",2.107,
"CAN","SOCEXP","PRIV","PC_GDP","A","1985",2.228,
"CAN","SOCEXP","PRIV","PC_GDP","A","1986",2.392,
"CAN","SOCEXP","PRIV","PC_GDP","A","1987",2.472,
"CAN","SOCEXP","PRIV","PC_GDP","A","1988",2.793,
"CAN","SOCEXP","PRIV","PC_GDP","A","1989",2.997,
"CAN","SOCEXP","PRIV","PC_GDP","A","1990",3.411,
"CAN","SOCEXP","PRIV","PC_GDP","A","1991",3.755,
"CAN","SOCEXP","PRIV","PC_GDP","A","1992",4.093,
"CAN","SOCEXP","PRIV","PC_GDP","A","1993",4.294,
"CAN","SOCEXP","PRIV","PC_GDP","A","1994",4.357,
"CAN","SOCEXP","PRIV","PC_GDP","A","1995",4.449,
"CAN","SOCEXP","PRIV","PC_GDP","A","1996",4.62,
"CAN","SOCEXP","PRIV","PC_GDP","A","1997",4.767,
"CAN","SOCEXP","PRIV","PC_GDP","A","1998",5.097,
"CAN","SOCEXP","PRIV","PC_GDP","A","1999",4.946,
"CAN","SOCEXP","PRIV","PC_GDP","A","2000",4.991,
"CAN","SOCEXP","PRIV","PC_GDP","A","2001",5.267,
"CAN","SOCEXP","PRIV","PC_GDP","A","2002",5.378,
"CAN","SOCEXP","PRIV","PC_GDP","A","2003",5.327,
"CAN","SOCEXP","PRIV","PC_GDP","A","2004",5.445,
"CAN","SOCEXP","PRIV","PC_GDP","A","2005",5.472,
"CAN","SOCEXP","PRIV","PC_GDP","A","2006",5.463,
